"ncbi_gene_id","gene_symbol","PAAD_fdr_adjusted_p_value","PAAD_cancer_sample_med","PAAD_normal_sample_med","PAAD_log2_fold_change","PAAD_p_value","KIRC_fdr_adjusted_p_value","KIRC_cancer_sample_med","KIRC_normal_sample_med","KIRC_log2_fold_change","KIRC_p_value","BRCA_fdr_adjusted_p_value","BRCA_cancer_sample_med","BRCA_normal_sample_med","BRCA_log2_fold_change","BRCA_p_value","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value"
137695,"TMEM68",0.0012346,16.052,13.516,0.248084805616194,0.0227993294883721,4.7949e-13,18.81,27.992,-0.573514720829292,1.64130292929293e-12,3.0319e-19,24.155,21.394,0.175115606795624,1.4039294669897e-18,7.794e-18,25.266,18.235,0.470487081666776,3.61960570952282e-17
139728,"PNCK",0.0035544,1,1,0,0.0504734969957082,1e-20,90.529,1,6.5003081130972,5.66341093670886e-20,1e-20,1.547,1,0.629473196786949,5.02960526315789e-20,2.5657e-05,1,1,0,5.22732936283024e-05
14,"AAMP",0.0031188,190.853,140.785,0.438968234733622,0.0458625315555556,1.1394e-14,166.943,200.778,-0.266245594656707,4.31782792273805e-14,1.559e-12,189.452,169.918,0.156993679836742,4.98823451450893e-12,1e-20,170.891,125.315,0.447517306038834,5.48805712878601e-20
1404,"HAPLN1",0.0021452,1,1,0,0.0346231791869919,1e-20,7.105,1,2.82883464946806,5.66341093670886e-20,9.1722e-09,1,1,0,2.3607272696667e-08,0.019488,1,1,0,0.0277278508682329
140576,"S100A16",0.015958,595.882,226.364,1.39638213203081,0.146152108856089,2.853e-14,224.834,158.055,0.508433545283105,1.05366905548217e-13,1e-20,442.55,239.317,0.886917579311653,5.02960526315789e-20,1e-20,340.443,161.067,1.07975232995111,5.48805712878601e-20
140597,"TCEAL2",0.0015509,4.191,5.202,-0.311771877812372,0.0271217464788732,1.1365e-20,1,25.09,-4.64904056563445,6.4043736457546e-20,2.2444e-11,1,7.041,-2.81578034258224,6.70862947999479e-11,1.317e-14,1,13.526,-3.75766335376083,5.06417857142857e-14
140628,"GATA5",0.0065692,1,1,0,0.0792295008505468,4.8087e-10,1,2.186,-1.12829340100982,1.35182735294118e-09,4.8597e-16,1,1,0,1.88590895939086e-15,2.451e-06,1,2.122,-1.08542465625268,5.43050372800477e-06
140685,"ZBTB46",0.015128,4.172,7.93,-0.926581708071575,0.141165631578947,0.00025716,6.494,6.244,0.0566368473081794,0.000484144828282828,3.6048e-05,4.277,5.763,-0.430220812510349,7.02370979525954e-05,1.2087e-05,3.245,4.969,-0.614737063663609,2.52609685858965e-05
140711,"TLDC2",6.0867e-09,1.88,1.024,0.876516946565,7.84630963636364e-07,2.3434e-07,1,1.535,-0.618238655595455,5.50724854470947e-07,7.2554e-06,1,1,0,1.50549714104768e-05,4.8783e-13,1,1,0,1.70840151005657e-12
140803,"TRPM6",0.042051,1,1,0,0.272987721386527,1.1301e-07,1,2.077,-1.05450121618256,2.71491048335123e-07,5.0538e-07,1,1.038,-0.0538064436957938,1.16001704363491e-06,0.025862,1,1,0,0.0360286532066508
140893,"RBBP8NL",0.021884,2.717,2.056,0.402174301028097,0.180472727272727,2.8716e-08,1,1.373,-0.457331625485014,7.17130477891916e-08,1e-20,7.661,2.736,1.48546449102282,5.02960526315789e-20,1e-20,4.182,1.126,1.89298623450935,5.48805712878601e-20
141,"ADPRH",0.0059843,9.218,18.272,-0.987108883026194,0.0744829615047022,1.4429e-09,19.569,14.927,0.390645789848306,3.93032534405066e-09,1e-20,9.264,17.73,-0.936485377796815,5.02960526315789e-20,1e-20,10.704,31.616,-1.56250483094322,5.48805712878601e-20
1428,"CRYM",0.0065259,3.071,1.114,1.46295927963584,0.0789470851919561,1.2507e-07,23.603,50.978,-1.11090453240914,2.99498460385439e-07,3.9835e-07,1.14,1.758,-0.6249012460913,9.2024146353747e-07,5.4793e-10,17.898,18.795,-0.0705505318740105,1.56620699115044e-09
1435,"CSF1",0.031145,51.962,116.077,-1.1595532728542,0.226895611009174,1e-20,71.064,38.919,0.86864425492436,5.66341093670886e-20,1e-20,45.815,107.006,-1.22379976869226,5.02960526315789e-20,0.022659,54.834,74.497,-0.442111610917416,0.0318914514051152
143941,"TTC36",0.021544,1,1,0,0.179250170087977,4.8296e-14,1,4.066,-2.02361021518265,1.76098522334529e-13,0.0035934,4.069,3.112,0.386832220087518,0.00563827249093521,3.7121e-07,1,1,0,8.76486626761309e-07
144455,"E2F7",2.0005e-08,1.114,1,0.155749232677945,2.19413955801105e-06,0.0022839,1,1,0,0.00395951533989613,1e-20,1.872,1,0.904580434921318,5.02960526315789e-20,1e-20,1.284,1,0.360645202460216,5.48805712878601e-20
144486,"CEP83-DT",0.024182,1,1,0,0.192640876404494,1.3853e-05,1,1,0,2.87151249304912e-05,5.6717e-10,1,1,0,1.56855709031713e-09,5.7393e-06,1,1,0,1.2332412177015e-05
145270,"PRIMA1",0.00051386,1.066,1,0.0922074380970889,0.0120723653491124,1e-20,12.495,2.761,2.178088108386,5.66341093670886e-20,1e-20,1.717,9.966,-2.5371245346814,5.02960526315789e-20,0.0043279,1,1.084,-0.116364756691785,0.00677311335580367
145282,"MIPOL1",0.031081,2.36,1.728,0.449683642085735,0.226595670951157,1e-20,2.14,4.374,-1.03134242375958,5.66341093670886e-20,1e-20,5.345,4.037,0.404906361127343,5.02960526315789e-20,0.0034035,3.5,2.982,0.231074664436249,0.00540115383793791
