"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"PAAD",2172,9.3164e-11,4.073,1.014,2.00603416200007,2.12585256091954e-08,"FABP6"
"PAAD",9232,0.040722,37.926,18.328,1.04913785695494,0.267863864811133,"PTTG1"
"PAAD",23120,0.00023829,12.434,5.578,1.15647064450913,0.00663468875175316,"ATP10B"
"PAAD",2566,0.039696,1,1,0,0.263560197993311,"GABRG2"
"PAAD",101927862,0.0023415,1,1,0,0.0369096066613799,"AC026689.1"
"PAAD",345630,0.012845,1.664,1.47,0.178839278417365,0.126299623576028,"FBLL1"
"PAAD",109616973,0.00085606,1,1,0,0.0174302596102564,"SNORA70J"
"PAAD",644994,0.022719,1,1,0,0.185222828747433,"SMIM23"
"PAAD",100268168,0.013571,1,1,0,0.131484378721327,"AC008429.1"
"PAAD",51617,0.018392,1.259,1.579,-0.32673288814122,0.160986765432099,"NSG2"
"PAAD",4488,0.042875,6.02,1.459,2.04478360372917,0.276464406625528,"MSX2"
"PAAD",1812,0.0057551,1,1,0,0.0723560767574414,"DRD1"
"PAAD",10814,0.00089913,4.017,2.645,0.602850739044079,0.0180244541271443,"CPLX2"
"PAAD",643201,0.0017696,1,1,0,0.0301804975945017,"AC139491.2"
"PAAD",1212,0.018977,331.181,204.141,0.698053942544441,0.16466401048951,"CLTB"
"PAAD",54825,0.00019524,19.238,2.272,3.0819240830581,0.0056417823580786,"CDHR2"
"PAAD",114787,0.011452,3.728,2.521,0.564405741795741,0.116820209338122,"GPRIN1"
"PAAD",6620,0.0061429,1,1,0,0.0758585907960199,"SNCB"
"PAAD",253314,0.037851,1,1,0,0.256107038854806,"EIF4E1B"
"PAAD",90249,2.4913e-05,1.047,1,0.0662614422687213,0.0010239604057971,"UNC5A"
"PAAD",27166,0.024528,43.804,35.002,0.323625257363573,0.194305608938548,"PRELID1"
"PAAD",2161,0.00016682,5.617,1.873,1.58444890333557,0.00498751602409639,"F12"
"PAAD",80758,0.00064373,5.657,3.281,0.785901577125355,0.0142308774610245,"PRR7"
"PAAD",55651,0.045083,68.78,59.77,0.202567573101185,0.285300515141855,"NHP2"
"PAAD",92304,0.018346,4.818,3.085,0.64316390420169,0.16072585701677,"SCGB3A1"
"PAAD",4245,0.030306,65.098,97.152,-0.577630475584248,0.222580359600444,"MGAT1"
"PAAD",79908,1.8993e-10,4.047,1,2.01685284900734,3.927594125e-08,"BTNL8"
"PAAD",10917,5.0027e-05,1,1,0,0.00183817799261993,"BTNL3"
"PAAD",81786,3.6235e-09,5.145,2.046,1.330364932036,4.9318622739726e-07,"TRIM7"
"PAAD",285768,0.015633,1,1,0,0.144351345724907,"LINC01622"
"PAAD",94234,0.00013555,55.886,20.09,1.47600935477136,0.00419149314641745,"FOXQ1"
"PAAD",2762,6.2689e-06,83.018,52.32,0.666061635325741,0.000315063804556962,"GMDS"
"PAAD",1992,0.018978,189.115,130.869,0.531140402912681,0.16466401048951,"SERPINB1"
