"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"LUAD",11130,1e-20,39.631,6.496,2.60900583332496,5.48805712878601e-20,"ZWINT"
"LUAD",220965,3.9625e-14,1.503,5.446,-1.85735197312743,1.47482026553106e-13,"FAM13C"
"LUAD",220963,1e-20,6.906,1.675,2.04368923862089,5.48805712878601e-20,"SLC16A9"
"LUAD",983,1e-20,38.445,7.645,2.33020757265193,5.48805712878601e-20,"CDK1"
"LUAD",219790,2.0922e-19,4.762,123.266,-4.69406349059715,1.06775501259446e-18,"RTKN2"
"LUAD",56521,1e-20,25.107,2.273,3.46542006404469,5.48805712878601e-20,"DNAJC12"
"LUAD",1763,1e-20,4.61,1.092,2.07779389439685,5.48805712878601e-20,"DNA2"
"LUAD",80201,1e-20,11.235,3.954,1.50661534833806,5.48805712878601e-20,"HKDC1"
"LUAD",64115,1e-20,25.628,77.823,-1.6024757002408,5.48805712878601e-20,"VSIR"
"LUAD",9806,1e-20,28.322,365.188,-3.68864430726976,5.48805712878601e-20,"SPOCK2"
"LUAD",58529,3.2043e-11,2.381,11.243,-2.23938751941393,9.92553635858235e-11,"MYOZ1"
"LUAD",5328,1e-20,77.549,20.834,1.89616832316751,5.48805712878601e-20,"PLAU"
"LUAD",729238,2.0008e-20,1374.48,21312.228,-3.95472360215466,1.07839974848851e-19,"SFTPA2"
"LUAD",653509,1e-20,1100.231,19698.745,-4.16222535601006,5.48805712878601e-20,"SFTPA1"
"LUAD",6441,1e-20,140.342,1495.759,-3.4138590112445,5.48805712878601e-20,"SFTPD"
"LUAD",219348,5.9339e-18,10.607,70.19,-2.72624883028803,2.76844943060498e-17,"PLAC9"
"LUAD",439990,1e-20,4.44,1,2.15055967657538,5.48805712878601e-20,"LINC00857"
"LUAD",79812,9.8589e-18,12.764,53.659,-2.0717396547619,4.55767069695084e-17,"MMRN2"
"LUAD",9060,1e-20,50.731,152.609,-1.58890054252966,5.48805712878601e-20,"PAPSS2"
"LUAD",118932,1e-20,14.204,2.17,2.71053031768913,5.48805712878601e-20,"ANKRD22"
"LUAD",3832,1e-20,11.447,1.918,2.57729492462474,5.48805712878601e-20,"KIF11"
"LUAD",55165,1e-20,19.362,1.97,3.29696044886436,5.48805712878601e-20,"CEP55"
"LUAD",338557,1.5337e-11,1.247,8.765,-2.81329262581723,4.85326876331109e-11,"FFAR4"
"LUAD",5950,4.0289e-13,5.722,55.812,-3.28598394292258,1.41941344135315e-12,"RBP4"
"LUAD",51196,4.997e-14,3.518,11.272,-1.67991612883768,1.8490476340694e-13,"PLCE1"
"LUAD",3070,1e-20,10.943,2.345,2.22234847625532,5.48805712878601e-20,"HELLS"
"LUAD",10580,3.2011e-17,8.473,27.851,-1.71678435479426,1.43431676115802e-16,"SORBS1"
"LUAD",5832,1e-20,82.971,25.859,1.68194068880885,5.48805712878601e-20,"ALDH18A1"
"LUAD",401647,1e-20,6.082,1.254,2.27800846822876,5.48805712878601e-20,"GOLGA7B"
"LUAD",55118,1e-20,11.282,151.721,-3.74932603847659,5.48805712878601e-20,"CRTAC1"
"LUAD",10360,1e-20,58.441,18.132,1.68844279836712,5.48805712878601e-20,"NPM3"
"LUAD",1308,1.2645e-20,6.902,1,2.78701447377343,6.90225606171932e-20,"COL17A1"
"LUAD",85450,4.6407e-12,10.31,30.62,-1.57042995013168,1.51652904545455e-11,"ITPRIP"
"LUAD",153,3.3397e-13,1.448,21.157,-3.86900156453241,1.18257406513106e-12,"ADRB1"
"LUAD",2869,1e-20,6.582,46.786,-2.82947895822944,5.48805712878601e-20,"GRK5"
"LUAD",2263,1.9669e-20,11.209,53.315,-2.24988391234798,1.06115469135802e-19,"FGFR2"
"LUAD",196792,1e-20,5.133,1.75,1.55244733849088,5.48805712878601e-20,"FAM24B"
"LUAD",8038,1e-20,8.681,1.332,2.70426715979315,5.48805712878601e-20,"ADAM12"
"LUAD",4288,1e-20,12.858,1.456,3.14258399519901,5.48805712878601e-20,"MKI67"
"LUAD",101,1e-20,48.282,11.755,2.03821089953613,5.48805712878601e-20,"ADAM8"
"LUAD",338707,1e-20,3.614,1,1.85359650620251,5.48805712878601e-20,"B4GALNT4"
"LUAD",727897,3.0792e-19,14.226,1.503,3.2426131542868,1.55897615629259e-18,"MUC5B"
"LUAD",5003,1e-20,3.995,1.045,1.93469256084709,5.48805712878601e-20,"SLC22A18AS"
"LUAD",7262,1e-20,66.182,11.764,2.49206020077889,5.48805712878601e-20,"PHLDA2"
"LUAD",283298,1.2301e-16,10.092,33.703,-1.73966490408976,5.32748517294986e-16,"OLFML1"
"LUAD",10894,7.5559e-14,3.929,41.062,-3.38556982535587,2.76970959375e-13,"LYVE1"
"LUAD",79733,1e-20,4.601,1,2.20194745644116,5.48805712878601e-20,"E2F8"
"LUAD",387758,1.486e-13,5.034,26.305,-2.38555992846117,5.35897766990291e-13,"FIBIN"
"LUAD",55366,1e-20,30.189,4.79,2.65592540780345,5.48805712878601e-20,"LGR4"
"LUAD",627,4.8483e-14,1,5.092,-2.34823241923927,1.79461986547085e-13,"BDNF"
"LUAD",4005,2.416e-20,14.07,56.91,-2.0160598508961,1.29779204627621e-19,"LMO2"
"LUAD",847,1e-20,94.745,359.448,-1.92366136173198,5.48805712878601e-20,"CAT"
"LUAD",90139,9.2828e-17,7.714,34.741,-2.17108823072596,4.05340445924765e-16,"TSPAN18"
"LUAD",120071,1e-20,28.548,6.476,2.14021478684372,5.48805712878601e-20,"LARGE2"
"LUAD",4192,1e-20,681.609,92.611,2.87968891822795,5.48805712878601e-20,"MDK"
"LUAD",6688,1.4466e-16,67.868,200.318,-1.56148865927911,6.23966986646023e-16,"SPI1"
"LUAD",349667,1e-20,7.595,1.505,2.33528647774238,5.48805712878601e-20,"RTN4RL2"
"LUAD",374393,1e-20,7.159,1.197,2.58033492741522,5.48805712878601e-20,"FAM111B"
