"ncbi_gene_id","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value","gene_symbol"
80128,1e-20,4.076,1.204,1.75931865940611,5.48805712878601e-20,"TRIM46"
57657,1e-20,3.352,1.147,1.54715675768353,5.48805712878601e-20,"HCN3"
92312,1e-20,7.871,1,2.97654693984849,5.48805712878601e-20,"MEX3A"
128239,1e-20,11.486,1,3.52180456172394,5.48805712878601e-20,"IQGAP3"
10763,4.2296e-13,17.433,66.001,-1.92066702282515,1.48823958320177e-12,"NES"
1382,1e-20,242.005,7.909,4.93539775030094,5.48805712878601e-20,"CRABP2"
375033,4.4023e-18,2.898,14.122,-2.28481492187026,2.06948028053153e-17,"PEAR1"
83416,1e-20,4.175,1,2.06177619758669,5.48805712878601e-20,"FCRL5"
922,1.4315e-12,1,3.287,-1.71677145641822,4.85155725364963e-12,"CD5L"
4332,1.2104e-17,23.34,67.751,-1.53743767965584,5.56669104416013e-17,"MNDA"
9447,1e-20,9.268,2.165,2.09789101925073,5.48805712878601e-20,"AIM2"
2532,6.3598e-11,16.177,95.374,-2.55965193833857,1.93239076482618e-10,"ACKR1"
57549,1e-20,14.364,1.377,3.38285709352969,5.48805712878601e-20,"IGSF9"
142683,1e-20,1,51.639,-5.69038915771276,5.48805712878601e-20,"ITLN2"
81607,1e-20,46.001,9.438,2.28511214717703,5.48805712878601e-20,"NECTIN4"
83540,1e-20,13.608,1.13,3.59006036836083,5.48805712878601e-20,"NUF2"
6258,6.8389e-17,1,7.968,-2.99421764740599,3.00925102270484e-16,"RXRG"
10223,1.0135e-11,1,14.163,-3.82405498366306,3.24678374299267e-11,"GPA33"
6403,1.3885e-15,5.022,23.966,-2.25465520506402,5.64801962036868e-15,"SELP"
55732,1e-20,5.335,1.575,1.76013644243715,5.48805712878601e-20,"C1orf112"
2327,1e-20,11.088,139.96,-3.65794350199,5.48805712878601e-20,"FMO2"
55103,1e-20,11.396,3.438,1.72888607684579,5.48805712878601e-20,"RALGPS2"
9068,7.7478e-16,1.258,9.111,-2.85647748700933,3.19709717830031e-15,"ANGPTL1"
9213,1e-20,49.083,15.541,1.65914409232184,5.48805712878601e-20,"XPR1"
4688,4.7216e-17,45.112,138.553,-1.61885479573924,2.09705658031088e-16,"NCF2"
343450,2.0416e-13,1,3.936,-1.97673022067715,7.31294426229508e-13,"KCNT2"
259266,1e-20,5.29,1,2.4032677223393,5.48805712878601e-20,"ASPM"
9928,1e-20,2.89,1,1.53106949272595,5.48805712878601e-20,"KIF14"
55765,1e-20,25.44,5.547,2.19731904004637,5.48805712878601e-20,"INAVA"
3898,1e-20,83.065,21.276,1.96501377363761,5.48805712878601e-20,"LAD1"
25802,9.0901e-13,7.306,25.588,-1.80831372956353,3.12351308510638e-12,"LMOD1"
29089,1e-20,46.872,4.978,3.23508821962691,5.48805712878601e-20,"UBE2T"
100506696,1e-20,13.488,2.37,2.50871747715646,5.48805712878601e-20,"PCAT6"
5549,1.3626e-12,28.733,92.034,-1.67945830068507,4.62367024969549e-12,"PRELP"
22874,1e-20,17.817,6.036,1.56158972748302,5.48805712878601e-20,"PLEKHA6"
93273,1e-20,4.823,1.196,2.01171342056379,5.48805712878601e-20,"LEMD1"
947,1.0828e-15,21.181,64.438,-1.60514101333177,4.43446593164278e-15,"CD34"
4751,1e-20,16.916,1.174,3.84888415191875,5.48805712878601e-20,"NEK2"
51514,1e-20,8.842,2.128,2.05487458345288,5.48805712878601e-20,"DTL"
1063,1e-20,10.808,1.094,3.30441493653313,5.48805712878601e-20,"CENPF"
79762,8.246e-18,16.124,60.316,-1.90333106770032,3.82394094881398e-17,"C1orf115"
89780,2.761e-20,1,12.651,-3.6611795223382,1.47919247596154e-19,"WNT3A"
57165,8.7718e-12,1.503,4.873,-1.69696521327595,2.81858573529412e-11,"GJC2"
9156,1e-20,5.862,1,2.55139296802745,5.48805712878601e-20,"EXO1"
55083,1e-20,7.807,1,2.96476826967405,5.48805712878601e-20,"KIF26B"
55657,1e-20,32.612,11.227,1.53843044771903,5.48805712878601e-20,"ZNF692"
285016,1.342e-12,1,11.237,-3.49018501809594,4.55515595491928e-12,"ALKAL2"
192668,1.8043e-11,2.99,15.071,-2.33355775713937,5.68052466450064e-11,"CYS1"
6241,1e-20,39.544,4.157,3.2498441585154,5.48805712878601e-20,"RRM2"
4148,4.3784e-12,4.851,23.178,-2.25640199875827,1.43291337444934e-11,"MATN3"
22979,3.2526e-12,2.106,7.585,-1.84864374410868,1.07377716190194e-11,"EFR3B"
150946,1e-20,3.667,1.136,1.69063743120698,5.48805712878601e-20,"GAREM2"
3777,3.845e-16,2.45,23.683,-3.2729981889146,1.61899707160401e-15,"KCNK3"
1058,1e-20,9.827,1,3.2967510558642,5.48805712878601e-20,"CENPA"
10669,1e-20,4.232,1,2.08133962745194,5.48805712878601e-20,"CGREF1"
79623,1e-20,14.072,1.436,3.29269973364891,5.48805712878601e-20,"GALNT14"
7498,1e-20,5.672,1,2.50385753257743,5.48805712878601e-20,"XDH"
58484,7.0018e-20,3.363,13.989,-2.05647215153447,3.67347261299435e-19,"NLRC4"
25797,1e-20,30.765,8.927,1.78504266149608,5.48805712878601e-20,"QPCT"
91461,5.6832e-14,8.98,31.611,-1.81563932490461,2.09565649238915e-13,"PKDCC"
5581,2.4158e-17,7.198,24.293,-1.75487265542143,1.09078068476499e-16,"PRKCE"
2034,1.5279e-17,164.66,1061.563,-2.68862795630627,6.98652180960197e-17,"EPAS1"
4072,1e-20,755.888,247.614,1.61007959973503,5.48805712878601e-20,"EPCAM"
693144,1e-20,5.08,1,2.34482849699744,5.48805712878601e-20,"MIR559"
6711,5.1229e-19,95.82,348.132,-1.8612357128859,2.56110525572005e-18,"SPTBN1"
2202,1e-20,85.654,313.845,-1.87345969875794,5.48805712878601e-20,"EFEMP1"
100129434,5.9499e-17,1,4.537,-2.18173865968866,2.62481039786223e-16,"AC007743.1"
114800,1.1918e-17,1,3.665,-1.87381319835909,5.48454400165187e-17,"CCDC85A"
5013,1e-20,3.792,1,1.92295896423617,5.48805712878601e-20,"OTX1"
29094,2.063e-15,12.063,40.331,-1.74130043558315,8.31279714337371e-15,"LGALSL"
200504,1.8915e-14,4.176,155.298,-5.21677372801287,7.19383284982935e-14,"GKN2"
150726,1e-20,4.536,1.416,1.67959937485923,5.48805712878601e-20,"FBXO41"
10797,1e-20,31.899,10.299,1.63100693460243,5.48805712878601e-20,"MTHFD2"
6439,1.1889e-16,3855.169,12723.164,-1.72259147462779,5.15506114785992e-16,"SFTPB"
84913,1.5696e-15,7.306,44.615,-2.61037518109409,6.36840983069361e-15,"ATOH8"
4118,7.5567e-13,9.126,34.2,-1.90594176621497,2.60867677973978e-12,"MAL"
150696,1e-20,47.375,8.764,2.43446455384296,5.48805712878601e-20,"PROM2"
23397,1e-20,5.216,1,2.38294386956899,5.48805712878601e-20,"NCAPH"
3899,5.951e-18,1,9.909,-3.30873947034459,2.7758463164504e-17,"AFF3"
8808,1e-20,3.083,1,1.62433488944509,5.48805712878601e-20,"IL1RL2"
130827,1e-20,6.054,2.02,1.58353338218836,5.48805712878601e-20,"TMEM182"
2274,1e-20,37.869,7.318,2.37149600394235,5.48805712878601e-20,"FHL2"
27233,1.1348e-14,2.859,16.359,-2.51650203620933,4.38171995841996e-14,"SULT1C4"
699,1e-20,13.596,2.284,2.57354771117883,5.48805712878601e-20,"BUB1"
55289,1e-20,3,17.778,-2.5670586262992,5.48805712878601e-20,"ACOXL"
150468,1e-20,4.49,1,2.16671544496642,5.48805712878601e-20,"CKAP2L"
8685,1e-20,43.833,587.735,-3.7450764866194,5.48805712878601e-20,"MARCO"
80775,1e-20,14.867,5.02,1.56635428719555,5.48805712878601e-20,"TMEM177"
2995,1e-20,31.051,108.755,-1.80837009382444,5.48805712878601e-20,"GYPC"
55679,1e-20,15.742,116.402,-2.88642509653406,5.48805712878601e-20,"LIMS2"
344148,1e-20,1.169,27.819,-4.57272372576888,5.48805712878601e-20,"NCKAP5"
9839,1e-20,12.107,37.745,-1.64044412320544,5.48805712878601e-20,"ZEB2"
11227,2.4e-11,7.887,23.069,-1.54840691932999,7.50193548387097e-11,"GALNT5"
9936,1e-20,4.21,12.402,-1.55868065619285,5.48805712878601e-20,"CD302"
2191,1e-20,14.125,3.398,2.05549310989305,5.48805712878601e-20,"FAP"
6332,7.3372e-17,3.894,27.827,-2.83716059242654,3.22278629089476e-16,"SCN7A"
115677,4.0457e-14,10.776,33.671,-1.64368481270199,1.50478164052069e-13,"NOSTRIN"
57405,1e-20,7.153,1.53,2.2250167886076,5.48805712878601e-20,"SPC25"
79901,1e-20,69.126,283.4,-2.03553940713258,5.48805712878601e-20,"CYBRD1"
5163,1e-20,8.88,2.993,1.56896739773937,5.48805712878601e-20,"PDK1"
11069,4.612e-16,2.669,10.803,-2.01706079476947,1.9302843943662e-15,"RAPGEF4"
83879,1e-20,19.375,2.203,3.13665491023544,5.48805712878601e-20,"CDCA7"
151126,2.6315e-19,4.399,37.742,-3.10092336897912,1.33716918604651e-18,"ZNF385B"
10203,6.9404e-17,11.527,84.416,-2.87249938154193,3.05267695146014e-16,"CALCRL"
1281,1e-20,701.27,110.125,2.67082799237162,5.48805712878601e-20,"COL3A1"
1290,1e-20,56.08,15.43,1.86174828743989,5.48805712878601e-20,"COL5A2"
8436,1e-20,21.806,267.511,-3.61680115855989,5.48805712878601e-20,"CAVIN2"
5334,4.3962e-19,1.438,4.922,-1.77518098201886,2.20423193250844e-18,"PLCL1"
33,1e-20,1.871,30.436,-4.02389730384413,5.48805712878601e-20,"ACADL"
7145,1e-20,55.742,279.529,-2.32616129280522,5.48805712878601e-20,"TNS1"
151306,1.5855e-18,1.184,5.253,-2.14947250352576,7.67340684039088e-18,"GPBAR1"
6556,6.7838e-11,17.741,63.375,-1.83682651035861,2.05701429387755e-10,"SLC11A1"
1593,8.2422e-17,72.314,229.151,-1.66395169627212,3.60679189868447e-16,"CYP27A1"
1674,1.0036e-14,5.377,75.223,-3.80630046752533,3.88927720396453e-14,"DES"
130367,6.3289e-19,74.679,21.379,1.80450823631596,3.14357464452864e-18,"SGPP2"
79843,5.8764e-11,1.315,4.711,-1.84097053248826,1.7911286487965e-10,"FAM124B"
1286,4.6682e-13,6.227,17.941,-1.52665112147191,1.63713884185681e-12,"COL4A4"
1285,4.7391e-11,3.992,17.932,-2.16735277871343,1.45122728359439e-10,"COL4A3"
80704,6.2406e-19,1.058,13.638,-3.68822055742498,3.10109815384615e-18,"SLC19A3"
55022,1e-20,12.206,51.947,-2.0894499386855,5.48805712878601e-20,"PID1"
10316,6.0491e-14,1,5.314,-2.40979822782842,2.22800019335647e-13,"NMUR1"
25791,1e-20,6.026,1,2.59120067293238,5.48805712878601e-20,"NGEF"
55355,1e-20,10.743,1,3.42532501937959,5.48805712878601e-20,"HJURP"
10267,1e-20,71.709,20.981,1.77307075745931,5.48805712878601e-20,"RAMP1"
55502,1.5517e-14,18.477,5.69,1.69922997635697,5.93695071244635e-14,"HES6"
27255,1e-20,1,10.74,-3.42492208821069,5.48805712878601e-20,"CNTN6"
29995,6.2325e-16,11.676,40.573,-1.79697386455803,2.58762532600596e-15,"LMCD1"
2177,1e-20,6.525,2.214,1.55932267956306,5.48805712878601e-20,"FANCD2"
5468,1.7703e-15,18.558,55.487,-1.58010856405024,7.16576027969488e-15,"PPARG"
7476,9.2032e-13,1,8.894,-3.15283240468942,3.15945345656192e-12,"WNT7A"
152273,1e-20,7.585,40.955,-2.43281850876869,5.48805712878601e-20,"FGD5"
9467,7.0273e-16,5.994,17.315,-1.53043139857102,2.91110474163569e-15,"SH3BP5"
151648,1e-20,3.252,1,1.70132725741294,5.48805712878601e-20,"SGO1"
27303,1.0686e-20,5.3,19.291,-1.86386366644962,5.85876708487085e-20,"RBMS3"
7048,1e-20,92.366,310.515,-1.74922916492591,5.48805712878601e-20,"TGFBR2"
6769,3.8793e-20,4.212,24.933,-2.5654791404197,2.06442118194842e-19,"STAC"
9942,1e-20,4.344,1.479,1.55440205070529,5.48805712878601e-20,"XYLB"
64651,3.9938e-12,31.139,166.967,-2.42276847161233,1.31108882898807e-11,"CSRNP1"
7433,2.938e-12,9.739,94.93,-3.28501853397891,9.74392946428571e-12,"VIPR1"
56992,1e-20,3.53,1,1.81966818349646,5.48805712878601e-20,"KIF15"
7123,1e-20,8.438,170.043,-4.33285471941788,5.48805712878601e-20,"CLEC3B"
9034,1e-20,9.764,33.866,-1.79429339625638,5.48805712878601e-20,"CCRL2"
5745,6.0972e-18,2.218,10.328,-2.21922963514548,2.84344625235405e-17,"PTH1R"
993,1e-20,2.841,1,1.50639883152745,5.48805712878601e-20,"CDC25A"
1294,1e-20,3.101,1,1.63273352595054,5.48805712878601e-20,"COL7A1"
10293,1e-20,5.77,1.687,1.77411134524528,5.48805712878601e-20,"TRAIP"
101928931,6.1615e-14,2.207,6.425,-1.54160982468899,2.26827470267592e-13,"SEMA3B-AS1"
7869,2.3708e-17,20.132,97.199,-2.27145096826568,1.07176510344828e-16,"SEMA3B"
3373,1e-20,11.596,83.508,-2.84828717473311,5.48805712878601e-20,"HYAL1"
9254,1e-20,9.849,116.459,-3.56370107507308,5.48805712878601e-20,"CACNA2D2"
25886,1e-20,11.546,4.013,1.52464006922779,5.48805712878601e-20,"POC1A"
56920,1.3917e-11,3.654,29.33,-3.00482853201683,4.41897961248041e-11,"SEMA3G"
7134,1e-20,14.872,248.429,-4.06216301382505,5.48805712878601e-20,"TNNC1"
692089,7.1074e-12,2.846,1,1.5089356618644,2.29469250760539e-11,"SNORD19"
11170,7.5631e-13,4.785,133.657,-4.80387266269551,2.61007757355218e-12,"FAM107A"
100874016,1e-20,3.293,1,1.71940251193326,5.48805712878601e-20,"SYNPR-AS1"
100507098,6.7471e-11,1,4.098,-2.03491998434916,2.04616434480882e-10,"ADAMTS9-AS2"
6092,3.6002e-12,1.186,6.298,-2.40878974758941,1.18484432073243e-11,"ROBO2"
5627,1e-20,29.019,88.225,-1.60418972027637,5.48805712878601e-20,"PROS1"
25890,2.2909e-19,9.195,65.64,-2.83565375910177,1.16782452653248e-18,"ABI3BP"
57650,1e-20,4.689,1.525,1.62047103638321,5.48805712878601e-20,"CIP2A"
79413,2.9939e-11,3.395,19.602,-2.52951738102713,9.2983625e-11,"ZBED2"
90102,7.219e-15,9.035,31.599,-1.80628239657111,2.82068866935484e-14,"PHLDB2"
4045,8.7105e-16,2.632,8.885,-1.7552122871808,3.58638303159062e-15,"LSAMP"
57514,1e-20,9.17,45.229,-2.30225445982235,5.48805712878601e-20,"ARHGAP31"
141,1e-20,10.704,31.616,-1.56250483094322,5.48805712878601e-20,"ADPRH"
3081,1e-20,9.061,2.208,2.03693010723135,5.48805712878601e-20,"HGD"
6565,1e-20,9.653,34.809,-1.85041108459954,5.48805712878601e-20,"SLC15A2"
56667,1.3312e-17,3.947,1,1.98075651923102,6.10587660012348e-17,"MUC13"
57493,1.1427e-17,18.768,92.489,-2.3010068732134,5.26511368616911e-17,"HEG1"
200810,1e-20,23.073,2.663,3.1150812648,5.48805712878601e-20,"ALG1L"
101927123,3.6913e-13,1,8.564,-3.09828479572342,1.30397849262958e-12,"LINC02016"
4171,1e-20,15.753,5.048,1.64184278606685,5.48805712878601e-20,"MCM2"
50512,1e-20,47.631,5.675,3.06920854049703,5.48805712878601e-20,"PODXL2"
2624,2.3636e-11,7.998,28.755,-1.84610165146654,7.39022912457912e-11,"GATA2"
79825,3.7527e-18,2.958,19.604,-2.72845409431069,1.7712076429479e-17,"EFCC1"
131873,1.1849e-15,1.202,12.34,-3.35983359332559,4.84274361936194e-15,"COL6A6"
51554,6.418e-19,1,6.025,-2.5909612413426,3.18712045454545e-18,"ACKR4"
80111,1.2848e-11,83.571,300.369,-1.84566162100549,4.09412891049471e-11,"SLCO2A1"
51208,1e-20,9.48,804.572,-6.40719066209716,5.48805712878601e-20,"CLDN18"
83850,6.3084e-12,5.388,16.321,-1.59890769911975,2.04294261551874e-11,"ESYT3"
26577,4.0636e-16,4.86,40.589,-3.062060577539,1.70910460841668e-15,"PCOLCE2"
5352,1e-20,58.469,20.255,1.52939383197453,5.48805712878601e-20,"PLOD2"
185,3.7723e-16,1.24,8.965,-2.8539634624815,1.58988748298033e-15,"AGTR1"
1359,6.9616e-13,24.722,92.971,-1.910985311997,2.40958501630688e-12,"CPA3"
1356,1e-20,130.548,11.081,3.55842036792278,5.48805712878601e-20,"CP"
9934,1.8126e-15,3.247,9.506,-1.54973101701625,7.33113293413174e-15,"P2RY14"
285313,8.2523e-14,1.067,12.648,-3.56727719153395,3.01704412893701e-13,"IGSF10"
401093,3.5557e-18,1,3.775,-1.91647664443772,1.68250288535032e-17,"MBNL1-AS1"
5028,1.086e-14,2.059,7.297,-1.82535962378975,4.1998407079646e-14,"P2RY1"
26084,1e-20,6.194,48.355,-2.96472178673198,5.48805712878601e-20,"ARHGEF26"
4311,1e-20,3.617,42.481,-3.55395222438368,5.48805712878601e-20,"MME"
7881,2.4278e-13,1.571,5.208,-1.72904626787144,8.66704766938972e-13,"KCNAB1"
79674,1e-20,5.51,52.577,-3.25430760141321,5.48805712878601e-20,"VEPH1"
8706,4.9316e-17,8.157,23.295,-1.5139097732499,2.18727500895522e-16,"B3GALNT1"
1894,1e-20,25.772,6.66,1.95221041746281,5.48805712878601e-20,"ECT2"
27094,1e-20,5.59,1.897,1.55912860431908,5.48805712878601e-20,"KCNMB3"
27074,1e-20,52.465,535.035,-3.35020605988921,5.48805712878601e-20,"LAMP3"
110599564,1e-20,11.53,2.852,2.01534662609525,5.48805712878601e-20,"EEF1AKMT4"
5984,1e-20,29.415,10.303,1.51348755758628,5.48805712878601e-20,"RFC4"
116832,1e-20,36.688,8.429,2.12187487210446,5.48805712878601e-20,"RPL39L"
5648,1.8005e-16,1.101,9.573,-3.1201566404361,7.73174248554913e-16,"MASP1"
285386,1.3637e-19,1.364,5.282,-1.95324065714292,7.04515111265647e-19,"TPRG1"
55214,1e-20,12.563,95.218,-2.92205331037566,5.48805712878601e-20,"P3H2"
84239,5.1375e-17,12.554,61.293,-2.28757520552782,2.27497441883568e-16,"ATP13A4"
131578,1e-20,5.986,1.327,2.17342390812791,5.48805712878601e-20,"LRRC15"
200958,1e-20,30.706,10.183,1.59235793349912,5.48805712878601e-20,"MUC20"
4585,1e-20,20.987,5.383,1.96301362394244,5.48805712878601e-20,"MUC4"
4241,1e-20,9.166,2.5,1.87436419082486,5.48805712878601e-20,"MELTF"
10460,1e-20,42.587,14.052,1.59963762253881,5.48805712878601e-20,"TACC3"
401115,1e-20,15.755,5.43,1.53678565121318,5.48805712878601e-20,"C4orf48"
7466,6.1591e-20,32.585,109.836,-1.75307109151721,3.23974183856502e-19,"WFS1"
6286,1e-20,307.711,22.922,3.7467711844731,5.48805712878601e-20,"S100P"
84740,1e-20,21.284,1,4.41169740352087,5.48805712878601e-20,"AFAP1-AS1"
114905,3.4524e-17,1.286,10.476,-3.02612541702265,1.54567374045802e-16,"C1QTNF7"
9079,4.0978e-19,14.061,91.75,-2.70600895730512,2.0592484464487e-18,"LDB2"
64151,1e-20,5.824,1,2.54201035553661,5.48805712878601e-20,"NCAPG"
9353,4.5223e-16,6.201,38.442,-2.63211060173881,1.89416463258786e-15,"SLIT2"
55203,1e-20,3.002,1,1.5859239769586,5.48805712878601e-20,"LGI2"
80008,1e-20,5.592,1.03,2.44072002330486,5.48805712878601e-20,"TMEM156"
