Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
KIRC,55735,DNAJC11,2.4359e-15,-1.21369866309731
KIRC,23261,CAMTA1,1e-20,-0.423682905778331
KIRC,9341,VAMP3,0.99559,0.0296299541443724
KIRC,8863,PER3,0.38212,-0.0448530283216513
KIRC,10911,UTS2,3.3125e-09,0.0
KIRC,3604,TNFRSF9,1e-20,1.17759892932773
KIRC,11315,PARK7,1.9722e-18,-0.278849083942185
KIRC,54206,ERRFI1,2.6725e-05,0.816063904952959
KIRC,102724539,LINC01714,1e-20,1.08220711579884
KIRC,50651,SLC45A1,1.5108e-08,-0.747543138575816
KIRC,473,RERE,9.1527e-12,-0.378861574405308
KIRC,2023,ENO1,6.8025e-10,0.643356528503687
KIRC,102465436,MIR6728,1e-20,0.0
KIRC,100505975,ENO1-AS1,3.5595e-05,0.0
KIRC,765,CA6,0.18772,0.0
KIRC,6518,SLC2A5,6.7759e-20,2.17463569275907
KIRC,80045,GPR157,0.0094291,-0.208566704850246
KIRC,106614088,MIR34AHG,1e-20,2.31961793420016
KIRC,102724571,LNCTAM34A,1e-20,1.90996506675797
KIRC,9563,H6PD,1e-20,0.595150477615956
KIRC,80176,SPSB1,1e-20,1.15488156941404
KIRC,100506022,LINC02606,1.5602e-07,0.046324623247253
KIRC,84275,SLC25A33,1e-20,-2.07008043268823
KIRC,199953,TMEM201,3.2294e-16,-0.762921167675566
KIRC,5293,PIK3CD,1e-20,0.595400192774526
KIRC,644997,PIK3CD-AS1,0.055404,0.0
KIRC,101929074,PIK3CD-AS2,0.0020645,0.192830264392928
KIRC,22883,CLSTN1,2.1504e-11,-0.436786179360983
KIRC,56998,CTNNBIP1,1e-20,-0.853208798617174
KIRC,84328,LZIC,1e-20,-0.693920585340482
KIRC,64802,NMNAT1,1e-20,-0.941424951418016
KIRC,100847055,MIR5697,0.29294,0.0
KIRC,116362,RBP7,1.4571e-06,0.846664294002228
KIRC,10277,UBE4B,6.2508e-14,-0.517812348832014
KIRC,23095,KIF1B,2.4204e-15,-0.726984416033825
KIRC,5226,PGD,1e-20,-1.11293034279383
KIRC,378708,CENPS,2.0648e-05,-0.472522993939604
KIRC,1325,CORT,2.147e-12,0.0
KIRC,1676,DFFA,1e-20,-0.670691491667741
KIRC,5195,PEX14,2.7453e-12,-0.291314122638677
KIRC,54897,CASZ1,1e-20,-2.48511723226764
KIRC,148345,C1orf127,2.2551e-06,0.0
KIRC,23435,TARDBP,2.5193e-06,-0.16653841848694
KIRC,10747,MASP2,3.1928e-10,0.423129920227565
KIRC,6723,SRM,1e-20,0.666020304683392
KIRC,5394,EXOSC10,0.30443,0.0430049392938668
KIRC,105376736,EXOSC10-AS1,1.0643e-05,0.0
KIRC,2475,MTOR,4.1595e-20,-1.23605693680953
KIRC,10218,ANGPTL7,0.086881,0.0
KIRC,29914,UBIAD1,4.938e-16,-0.424006242644928
KIRC,57540,DISP3,0.001217,0.0
KIRC,26232,FBXO2,2.6827e-13,-3.44617278201252
KIRC,93611,FBXO44,5.4813e-09,-0.475338009546658
KIRC,26270,FBXO6,1e-20,0.750500851582035
KIRC,10459,MAD2L2,0.63951,-0.132964543640109
KIRC,374946,DRAXIN,0.011932,0.0
