Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
BRCA,23261,CAMTA1,0.0002849,-0.283455122407828
BRCA,9341,VAMP3,1e-20,-0.768126814965461
BRCA,8863,PER3,1.608e-17,-1.23467233461734
BRCA,10911,UTS2,1.4308e-10,0.0
BRCA,3604,TNFRSF9,1e-20,0.0
BRCA,11315,PARK7,6.8375e-15,0.20065382262544
BRCA,54206,ERRFI1,6.8595e-13,-1.22637648618197
BRCA,102724539,LINC01714,9.4092e-07,0.0
BRCA,50651,SLC45A1,0.026531,-0.318503494614162
BRCA,473,RERE,1e-20,-0.771303016086312
BRCA,2023,ENO1,3.2089e-06,-0.0398787960671095
BRCA,102465436,MIR6728,0.00038485,0.0
BRCA,100505975,ENO1-AS1,0.81086,0.0
BRCA,765,CA6,0.3913,-0.730313886293776
BRCA,6518,SLC2A5,0.14082,-0.311122229420553
BRCA,80045,GPR157,1.3187e-06,0.137689244884987
BRCA,106614088,MIR34AHG,0.0044534,-0.515996003088206
BRCA,102724571,LNCTAM34A,6.9255e-05,-0.712657966918338
BRCA,9563,H6PD,1e-20,-0.983637850300215
BRCA,80176,SPSB1,0.013248,-0.205486492012049
BRCA,100506022,LINC02606,1.9041e-13,-0.821009499303804
BRCA,84275,SLC25A33,2.6755e-10,-0.653000148910022
BRCA,199953,TMEM201,1.6879e-06,0.046551811562711
BRCA,5293,PIK3CD,0.0039153,-0.655379615764606
BRCA,644997,PIK3CD-AS1,0.00014084,0.0
BRCA,101929074,PIK3CD-AS2,1.5119e-09,-1.34531994324159
BRCA,22883,CLSTN1,0.26775,-0.0658421844882361
BRCA,56998,CTNNBIP1,0.00084752,-0.306739166550437
BRCA,84328,LZIC,0.00040117,-0.193711282836904
BRCA,64802,NMNAT1,4.6285e-17,-0.513353096453532
BRCA,100847055,MIR5697,0.001949,0.0
BRCA,116362,RBP7,1e-20,-2.67242945062767
BRCA,10277,UBE4B,1.2272e-18,-0.47266547337715
BRCA,23095,KIF1B,2.1876e-09,-0.771392656242178
BRCA,5226,PGD,0.05759,-0.095702368583288
BRCA,378708,CENPS,1e-20,0.876023467185787
BRCA,1325,CORT,0.00019429,0.0
BRCA,1676,DFFA,5.3092e-13,-0.425773430061853
BRCA,5195,PEX14,1.776e-06,-0.217201150304356
BRCA,54897,CASZ1,1.1717e-09,0.314826087309492
BRCA,148345,C1orf127,0.091609,0.0
BRCA,23435,TARDBP,1.3656e-11,0.176775344189455
BRCA,10747,MASP2,2.306e-16,-1.73554701485733
BRCA,6723,SRM,6.7841e-11,0.219963420421072
BRCA,5394,EXOSC10,1.2934e-06,-0.182985004830135
BRCA,105376736,EXOSC10-AS1,0.011684,-0.298716411836564
BRCA,2475,MTOR,0.0001426,-0.235135298645386
BRCA,10218,ANGPTL7,4.1397e-16,-3.17168721868987
BRCA,29914,UBIAD1,0.54882,-0.0922553052364305
BRCA,57540,DISP3,1.0919e-15,0.0
BRCA,26232,FBXO2,0.0014992,-1.22214464202439
BRCA,93611,FBXO44,0.72395,-0.258249855177627
BRCA,26270,FBXO6,1e-20,0.843147568520498
BRCA,10459,MAD2L2,1e-20,0.632857332298954
BRCA,374946,DRAXIN,5.653e-12,0.0
BRCA,57085,AGTRAP,1e-20,0.623479908395851
BRCA,4524,MTHFR,0.48239,-0.114540310460804
BRCA,1185,CLCN6,1e-20,-1.19702071895723
BRCA,4878,NPPA,0.017157,0.0
BRCA,4879,NPPB,0.052671,0.0
BRCA,90231,KIAA2013,1e-20,0.226291252456201
BRCA,5351,PLOD1,1e-20,0.160422238393493
BRCA,9927,MFN2,5.5869e-12,-0.372030833552794
BRCA,60672,MIIP,1e-20,0.278484559810289
BRCA,943,TNFRSF8,8.5821e-16,-1.23143240844797
BRCA,7133,TNFRSF1B,2.1721e-16,-1.06186752421763
BRCA,100616438,MIR4632,0.27173,0.0
BRCA,55187,VPS13D,1e-20,-0.874563897999668
BRCA,677885,SNORA59A,0.020876,-0.0507017911816649
BRCA,9249,DHRS3,2.5072e-19,-1.20593314210264
BRCA,102466722,MIR6730,0.22926,0.0
BRCA,93190,C1orf158,0.011669,0.0
BRCA,10630,PDPN,5.5471e-11,-0.834623764801605
BRCA,7799,PRDM2,5.585e-15,-0.560948657393553
BRCA,23254,KAZN,1.1221e-06,-0.422040778747065
BRCA,200197,TMEM51-AS1,0.85781,0.0
BRCA,55092,TMEM51,4.1576e-16,0.492002556850386
BRCA,114827,FHAD1,1e-20,0.492622328574446
BRCA,79180,EFHD2,1.8085e-20,0.48431953737996
BRCA,11330,CTRC,0.31752,0.0
BRCA,63036,CELA2A,0.039306,0.0
BRCA,51032,CELA2B,0.00047701,0.0
BRCA,842,CASP9,0.030021,-0.162931655172845
BRCA,23341,DNAJC16,0.11638,-0.0614654125871276
BRCA,79814,AGMAT,1e-20,0.968643755964717
BRCA,84301,DDI2,0.0014918,-0.31287327271771
BRCA,23207,PLEKHM2,7.6394e-07,-0.2158747067165
BRCA,284723,SLC25A34,0.035726,-0.54794331129035
BRCA,388595,TMEM82,0.00027037,0.0
BRCA,54751,FBLIM1,0.011205,-0.156119898752071
BRCA,440567,UQCRHL,0.0075713,-0.0264948239589124
BRCA,729614,AL450998.2,0.11306,-0.240914865008482
BRCA,23013,SPEN,1.5832e-17,-0.632954042227287
BRCA,7709,ZBTB17,8.0778e-08,0.165642246068134
BRCA,149563,SRARP,1.7876e-18,0.240451997642502
BRCA,27129,HSPB7,2.6776e-11,-4.82154869234663
BRCA,1187,CLCNKA,0.17291,-0.0229004021100788
BRCA,1188,CLCNKB,0.34874,0.0
BRCA,348487,FAM131C,1.08e-17,0.0
BRCA,1969,EPHA2,1e-20,-1.60866589774611
BRCA,128272,ARHGEF19,1e-20,0.494828056008184
BRCA,79363,CPLANE2,2.0559e-05,0.187988451836069
BRCA,54455,FBXO42,9.9773e-20,-0.318706440907377
BRCA,26099,SZRD1,0.018914,0.0202991189679756
BRCA,374955,SPATA21,0.00028852,0.0
BRCA,55707,NECAP2,0.00088966,-0.102203407443856
BRCA,107984921,LINC01772,1.8853e-06,-0.689463272328033
BRCA,26871,RNU1-1,0.00033904,0.0
BRCA,100132147,LINC01783,0.38771,0.0
BRCA,55672,NBPF1,0.032003,-0.479507314326078
BRCA,9696,CROCC,0.1738,-0.134591466784666
BRCA,6060,RNU1-4,0.0058289,0.0
BRCA,112267871,BX284668.2,2.2658e-06,0.0
BRCA,4237,MFAP2,1e-20,2.03321339114004
BRCA,23400,ATP13A2,1e-20,0.63584366972334
BRCA,6390,SDHB,0.22292,0.0350128791846505
BRCA,11240,PADI2,0.0044188,-1.66186960354618
BRCA,400743,AL590644.1,0.018561,0.0
BRCA,29943,PADI1,0.00097962,0.0
BRCA,51702,PADI3,7.5332e-10,0.0
