Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
COAD,23261,CAMTA1,8.792e-06,-0.258014235687578
COAD,9341,VAMP3,2.8973e-07,-0.225761689081301
COAD,8863,PER3,0.00089898,-1.30855253962202
COAD,10911,UTS2,0.00021745,0.137503523749935
COAD,3604,TNFRSF9,6.7696e-10,0.175045486110914
COAD,11315,PARK7,4.7573e-08,0.381901124548071
COAD,54206,ERRFI1,0.086266,0.181502029562966
COAD,102724539,LINC01714,0.067513,0.0
COAD,50651,SLC45A1,0.027018,-0.538041453333663
COAD,473,RERE,1.9029e-07,-0.585571961424815
COAD,2023,ENO1,1e-20,0.7608687300299
COAD,102465436,MIR6728,8.953e-05,0.0
COAD,100505975,ENO1-AS1,0.0018743,0.0
COAD,765,CA6,0.025056,0.0
COAD,155184,SLC2A7,0.3181,0.0
COAD,6518,SLC2A5,0.025375,-1.49849270900555
COAD,80045,GPR157,1e-20,0.997765402888393
COAD,106614088,MIR34AHG,8.475300000000001e-19,1.55483439589419
COAD,102724571,LNCTAM34A,7.9104e-11,0.238786859587116
COAD,9563,H6PD,0.32231,-0.142536069370436
COAD,80176,SPSB1,0.027672,-0.221217838008738
COAD,100506022,LINC02606,0.061989,0.0
COAD,84275,SLC25A33,0.27476,0.128203324923463
COAD,199953,TMEM201,1e-20,0.940956245898118
COAD,5293,PIK3CD,8.7314e-06,-1.03170473627474
COAD,644997,PIK3CD-AS1,0.010903,0.0
COAD,101929074,PIK3CD-AS2,0.02707,-0.719339923484372
COAD,22883,CLSTN1,3.6133e-09,-0.652058254963123
COAD,56998,CTNNBIP1,2.0885e-10,0.221262485746444
COAD,84328,LZIC,6.0229e-10,-0.343820924175053
COAD,64802,NMNAT1,2.7257e-15,-0.852785832722547
COAD,100847055,MIR5697,0.012081,0.0
COAD,116362,RBP7,0.058585,-0.98753848125777
COAD,10277,UBE4B,0.72017,-0.0406939686220603
COAD,23095,KIF1B,0.013732,-0.34109810212825
COAD,5226,PGD,8.3533e-20,0.586610870248138
COAD,100526739,CENPS-CORT,0.19737,0.0
COAD,378708,CENPS,3.5054000000000005e-19,0.485782945584249
COAD,1325,CORT,0.42909,0.0
COAD,1676,DFFA,7.5866e-19,0.608945357590179
COAD,5195,PEX14,0.027692,-0.0060740845749196
COAD,54897,CASZ1,3.2344e-10,-0.856672682001402
COAD,148345,C1orf127,0.3185,0.0
COAD,23435,TARDBP,4.7532e-13,0.419298540982888
COAD,10747,MASP2,0.95354,-0.753604536279995
COAD,6723,SRM,1e-20,1.25869063394667
COAD,5394,EXOSC10,1.7018e-08,0.261512997812635
COAD,105376736,EXOSC10-AS1,2.5015e-06,0.0
COAD,2475,MTOR,0.8286,-0.0686267191921382
COAD,100873935,MTOR-AS1,0.0012887,0.0
COAD,10218,ANGPTL7,0.00039253,-1.31903981556254
COAD,29914,UBIAD1,8.65e-09,0.318987121888095
COAD,57540,DISP3,0.24264,0.0
COAD,26232,FBXO2,5.0818e-07,0.662763053592697
COAD,93611,FBXO44,1.9662e-17,0.820191481690885
COAD,26270,FBXO6,0.020842,0.322634877648898
COAD,10459,MAD2L2,1e-20,1.18127202497759
COAD,374946,DRAXIN,0.032232,0.0
COAD,57085,AGTRAP,1e-20,0.961819116000445
COAD,4524,MTHFR,4.6084e-10,-0.565777287003163
COAD,1185,CLCN6,0.69042,-0.0073476409072374
COAD,4878,NPPA,0.15145,0.0
COAD,4879,NPPB,0.12679,0.0
COAD,90231,KIAA2013,5.8875e-07,-0.396656804723354
COAD,5351,PLOD1,2.2308e-14,0.849472721200311
COAD,9927,MFN2,1.1998e-11,-0.636060516561694
COAD,60672,MIIP,1e-20,0.832539070733474
COAD,943,TNFRSF8,0.003217,0.0
COAD,7133,TNFRSF1B,0.0072354,0.0700216445443331
COAD,100616438,MIR4632,0.02714,0.0
COAD,55187,VPS13D,0.00014756,-0.677341611479788
COAD,677885,SNORA59A,4.8198e-05,0.397255345594427
COAD,9249,DHRS3,7.3973e-06,-0.48387474154849
COAD,102466722,MIR6730,0.3292,0.0
COAD,93190,C1orf158,0.3181,0.0
COAD,391004,PRAMEF17,0.3181,0.0
COAD,126755,LRRC38,0.3181,0.0
COAD,10630,PDPN,1e-20,1.7539336541678
COAD,7799,PRDM2,0.27025,0.0140346746129718
COAD,23254,KAZN,0.83166,-0.0944415801818136
COAD,105376762,KAZN-AS1,0.0032759,0.0
COAD,200197,TMEM51-AS1,8.7368e-20,0.367371065648529
COAD,55092,TMEM51,0.23252,-0.0217227919197554
COAD,114827,FHAD1,8.2788e-07,0.0
COAD,79180,EFHD2,0.0004766,-0.26425065656426
COAD,11330,CTRC,0.15886,0.0
COAD,63036,CELA2A,0.10615,0.0
COAD,51032,CELA2B,0.01186,0.0
COAD,842,CASP9,1.9886e-09,-0.407159337349021
COAD,23341,DNAJC16,0.45836,-0.110341002259943
