"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"33","GO:1901700","GO:1901700","response to oxygen-containing compound",129,-0.236682599340018,-1.77135446139331,0.00323244616761766,0.0189049124348548,0.0130947579995995,221,"tags=29%, list=18%, signal=27%","7056/9353/858/4360/158376/2878/3373/185/10203/120892/358/6258/7122/9365/1066/6586/4023/255738/1036/7049/7476/10268/154/5950/6751/53905/181/89780/361/1910/5319/857/56729/338328/2819/1361/51208/177"
"32","GO:0051049","GO:0051049","regulation of transport",132,-0.245751934747984,-1.85413864105463,0.00246430423163974,0.0148628348970772,0.0102949551782318,265,"tags=33%, list=22%, signal=29%","1410/2824/9022/6505/84830/65009/6769/284654/21/284/2294/6457/338557/6332/185/120892/358/5593/1066/10326/28984/2719/255738/4881/7476/10268/154/5923/3777/5950/6441/9254/89780/1910/7134/5319/2273/857/29091/56729/53405/8547/1361/203190"
"31","GO:0048584","GO:0048584","positive regulation of response to stimulus",194,-0.223636256529007,-1.84211406728715,0.00204609855575104,0.0127386135890307,0.00882358290595524,340,"tags=38%, list=28%, signal=33%","84106/7078/2627/23604/2263/6403/2171/2247/7450/730/57608/1012/2690/627/8516/6092/2977/168667/255743/11326/65009/27123/90865/284654/1839/7056/94/9353/858/284/1675/1003/6368/338557/2013/185/1901/340419/120892/55679/4239/9365/28984/343637/4023/2719/7049/4881/5648/2264/7476/10268/9037/154/5923/53905/57864/80274/147372/27255/7010/285016/89780/8685/153579/5319/2662/857/219790/2277/8547/1361/2167/177"
"30","GO:0042592","GO:0042592","homeostatic process",140,-0.247407927343216,-1.8936338558939,0.00145277914896302,0.00934621252499545,0.00647378778660716,260,"tags=33%, list=21%, signal=29%","80177/6505/9314/4858/55289/58494/858/21/2034/64116/9079/284/1003/6368/338557/6332/185/1901/120892/6886/358/7122/9365/1066/4023/255738/7049/4881/2264/51705/154/5950/2890/57864/6441/2327/361/153/1910/33/857/338328/1361/2167/51208/177"
"29","GO:0040012","GO:0040012","regulation of locomotion",130,-0.250533584550953,-1.87740370537687,0.00117395242527095,0.00781285579576874,0.00541168631613106,568,"tags=63%, list=46%, signal=38%","9732/7048/5581/91663/8322/51378/22998/2621/90102/104/6622/23328/2624/2159/22854/57381/482/1636/4739/154810/728/1843/57091/650/79812/90627/2268/7075/306/152007/284119/23604/6403/7869/2247/57608/1012/5175/6693/6092/168667/9314/84830/9510/79148/4858/65009/10395/90865/58494/1839/84913/94/9353/221692/9079/284/1003/2294/2013/3373/1901/120892/54538/358/56920/7122/1602/28984/7476/9037/53905/10894/147372/7010/285313/89780/9806/4248/857/2277/177"
"28","GO:0048583","GO:0048583","regulation of response to stimulus",333,-0.196892683870822,-1.76053997980977,0.00101555104276711,0.00700004825907328,0.00484868355005348,399,"tags=40%, list=32%, signal=37%","241/58484/79812/90627/115727/55022/51473/2268/26153/58189/353514/151306/10516/92162/8406/152007/9754/8425/440073/84106/7078/2627/58529/23604/2263/6442/6403/2171/80243/7869/2247/57493/57514/7450/730/2206/57608/1012/2690/627/8516/6693/6092/2977/80014/168667/152273/255743/84952/10391/9314/84830/54922/79148/4858/11326/65009/10395/27123/90527/90865/284654/64321/1839/7056/94/22899/395/9353/858/284/1675/158376/2160/1003/6368/8395/2294/91851/338557/2869/2013/185/1901/340419/10203/120892/55679/10266/4239/56920/9365/28984/6586/343637/4023/2719/255738/83595/7049/4881/5648/2264/7476/10268/9037/154/5923/79674/53905/57864/80274/147372/27255/7010/285016/89780/8685/6943/1910/153579/7134/5319/2662/857/64399/219790/2277/55273/8547/1361/11197/2167/177"
"27","GO:0051239","GO:0051239","regulation of multicellular organismal process",274,-0.214244910918897,-1.85327784615799,0.00093957997278468,0.0067162568424979,0.00465211136622434,336,"tags=36%, list=27%, signal=34%","2627/58529/2263/6442/2171/641700/7869/3953/2247/57493/3762/6926/57608/2690/338442/627/3400/6693/6092/80014/168667/2824/255743/10391/6505/443/9314/84830/9510/4858/11326/79413/2532/90865/64321/58494/1839/7056/84913/94/9353/2034/284/158376/2160/1003/338557/2013/3373/185/1901/340419/10203/120892/6886/745/10266/358/5593/6258/56920/7122/9365/28984/4023/255738/7049/4881/126393/7476/9037/154/5950/54674/57864/147372/6441/7010/181/4311/89780/1674/361/153/1910/153579/33/7134/5319/2662/857/56729/338328/2277/55273/1361/2167/51208/177"
"26","GO:0016192","GO:0016192","vesicle-mediated transport",104,-0.279157380118359,-2.003713292514,0.000897704258980911,0.00666372776858907,0.00461572635184517,320,"tags=41%, list=26%, signal=33%","3953/375033/22918/1012/2690/5175/4481/6505/65009/284654/51554/858/4360/284/4973/2294/6457/2013/10203/120892/10266/1066/10326/8676/2719/255738/728113/7476/10268/154/8825/2890/10894/6441/89780/8685/653509/857/29091/338328/8547/203190/177"
"25","GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis",135,-0.26202494080648,-1.98485904969638,0.000688537254543508,0.00531550760507588,0.00368186237166423,506,"tags=59%, list=41%, signal=39%","23328/10398/2624/6711/10365/240/6247/57381/1636/6909/7111/154810/4855/728/1843/153572/650/79812/90627/11076/7075/306/1285/4629/79625/2627/58529/2263/641700/3953/2247/5239/6926/57608/1012/8516/161198/9496/6092/168667/6505/9314/84830/54922/9510/10395/64321/58494/84913/94/9353/2034/5787/284/1003/2294/2013/3373/185/1901/10203/54538/10266/358/7122/28984/83595/7049/4881/126393/7476/9037/5950/147372/7010/89780/6943/857/2277/55273"
"24","GO:0033043","GO:0033043","regulation of organelle organization",109,0.233672023806505,2.05920883713004,0.000620070213216806,0.00498639796461848,0.00345389987186554,218,"tags=32%, list=18%, signal=29%","4751/7153/991/83540/9787/9212/990/1063/10615/5347/4288/9088/10403/55143/113130/4192/891/7272/701/343578/81620/147841/11130/6712/64151/6790/1111/6491/221150/23397/116028/4085/4318/57405/995"
