cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
LUAD,55103,RALGPS2,1e-20,1.72888607684579
LUAD,9068,ANGPTL1,7.7478e-16,-2.85647748700933
LUAD,9213,XPR1,1e-20,1.65914409232184
LUAD,4688,NCF2,4.7216e-17,-1.61885479573924
LUAD,343450,KCNT2,2.0416e-13,-1.97673022067715
LUAD,259266,ASPM,1e-20,2.4032677223393
LUAD,9928,KIF14,1e-20,1.53106949272595
LUAD,55765,INAVA,1e-20,2.19731904004637
LUAD,3898,LAD1,1e-20,1.96501377363761
LUAD,25802,LMOD1,9.0901e-13,-1.80831372956353
LUAD,29089,UBE2T,1e-20,3.23508821962691
LUAD,100506696,PCAT6,1e-20,2.50871747715646
LUAD,5549,PRELP,1.3626e-12,-1.67945830068507
LUAD,22874,PLEKHA6,1e-20,1.56158972748302
LUAD,93273,LEMD1,1e-20,2.01171342056379
LUAD,947,CD34,1.0828e-15,-1.60514101333177
LUAD,4751,NEK2,1e-20,3.84888415191875
LUAD,51514,DTL,1e-20,2.05487458345288
LUAD,1063,CENPF,1e-20,3.30441493653313
LUAD,79762,C1orf115,8.246e-18,-1.90333106770032
LUAD,89780,WNT3A,2.761e-20,-3.6611795223382
LUAD,57165,GJC2,8.7718e-12,-1.69696521327595
LUAD,9156,EXO1,1e-20,2.55139296802745
LUAD,55083,KIF26B,1e-20,2.96476826967405
LUAD,55657,ZNF692,1e-20,1.53843044771903
LUAD,285016,ALKAL2,1.342e-12,-3.49018501809594
LUAD,192668,CYS1,1.8043e-11,-2.33355775713937
LUAD,4148,MATN3,4.3784e-12,-2.25640199875827
LUAD,22979,EFR3B,3.2526e-12,-1.84864374410868
LUAD,150946,GAREM2,1e-20,1.69063743120698
LUAD,3777,KCNK3,3.845e-16,-3.2729981889146
LUAD,1058,CENPA,1e-20,3.2967510558642
LUAD,10669,CGREF1,1e-20,2.08133962745194
LUAD,79623,GALNT14,1e-20,3.29269973364891
LUAD,7498,XDH,1e-20,2.50385753257743
LUAD,58484,NLRC4,7.0018e-20,-2.05647215153447
LUAD,25797,QPCT,1e-20,1.78504266149608
LUAD,91461,PKDCC,5.6832e-14,-1.81563932490461
LUAD,5581,PRKCE,2.4158e-17,-1.75487265542143
LUAD,2034,EPAS1,1.5279e-17,-2.68862795630627
LUAD,4072,EPCAM,1e-20,1.61007959973503
LUAD,693144,MIR559,1e-20,2.34482849699744
LUAD,6711,SPTBN1,5.1229e-19,-1.8612357128859
